全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,設置位置,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,小児対応設備の有無,URL,画像1,画像1_ライセンス,画像2,画像2_ライセンス,外部利用不可,備考
332101,0000000011,岡山県新見市,新見市民グラウンド,,,332101,,岡山県新見市下熊谷23-1,岡山県,新見市,下熊谷,23-1,,34.998111,133.466501,,,,,,,,,,,,,,,,,,,,,,,
332101,0000000012,岡山県新見市,げんき広場にいみ,,,332101,,岡山県新見市上市15-1,岡山県,新見市,上市,15-1,,35.004854,133.439027,,,,,,,,,,,,,,,,,,,,,,,
332101,0000000013,岡山県新見市,上市小学校,,,332101,,岡山県新見市上市217,岡山県,新見市,上市,217,,35.007539,133.431814,,,,,,,,,,,,,,,,,,,,,,,
332101,0000000014,岡山県新見市,上市認定こども園,,,332101,,岡山県新見市上市433,岡山県,新見市,上市,433,,35.008793,133.432476,,,,,,,,,,,,,,,,,,,,,,,
332101,0000000015,岡山県新見市,上市市民センター,,,332101,,岡山県新見市上市658-1,岡山県,新見市,上市,658-1,,35.010554,133.434033,,,,,,,,,,,,,,,,,,,,,,,
332101,0000000016,岡山県新見市,高尾小学校,,,332101,,岡山県新見市高尾806,岡山県,新見市,高尾,806,,34.995001,133.447974,,,,,,,,,,,,,,,,,,,,,,,
332101,0000000017,岡山県新見市,高尾公民館,,,332101,,岡山県新見市高尾823,岡山県,新見市,高尾,823,,34.996247,133.447992,,,,,,,,,,,,,,,,,,,,,,,
332101,0000000083,岡山県新見市,新見市休日診療所,,,332101,,岡山県新見市高尾2306-5,岡山県,新見市,高尾,2306-5,,34.993776,133.447116,,,,,,,,,,,,,,,,,,,,,,,
332101,0000000018,岡山県新見市,新見第一中学校,,,332101,,岡山県新見市高尾2364,岡山県,新見市,高尾,2364,,34.991787,133.452848,,,,,,,,,,,,,,,,,,,,,,,
332101,0000000019,岡山県新見市,ほほえみ広場にいみ,,,332101,,岡山県新見市高尾2488-13,岡山県,新見市,高尾,2488-13,,34.990552,133.455806,,,,,,,,,,,,,,,,,,,,,,,
332101,0000000020,岡山県新見市,西方小学校,,,332101,,岡山県新見市西方1216,岡山県,新見市,西方,1216,,34.995413,133.442340,,,,,,,,,,,,,,,,,,,,,,,
332101,0000000021,岡山県新見市,西方公民館,,,332101,,岡山県新見市西方1085-2,岡山県,新見市,西方,1085-2,,34.995160,133.443331,,,,,,,,,,,,,,,,,,,,,,,
